Ingredient,Purpose,SimpleName,HealthNotes,Category
"Ascorbic Acid","Preservative / Antioxidant","Vitamin C","Natural antioxidant that prevents oxidation. Generally recognized as safe.","Vitamin"
"Citric Acid","Acidity Regulator","Citrus Acid","Natural preservative found in citrus fruits. Safe for general consumption.","Acidity Regulator"
"Sodium Benzoate","Preservative","Benzoate","Prevents bacteria and mold growth. May form benzene when combined with Vitamin C.","Preservative"
"Potassium Sorbate","Preservative","Sorbate","Prevents mold and yeast growth. Generally recognized as safe.","Preservative"
"Calcium Propionate","Preservative","Propionate","Prevents mold in baked goods. Generally safe for most people.","Preservative"
"Titanium Dioxide","Colouring Agent","Titanium White","Used as a whitening agent. EU banned in food in 2022 due to genotoxicity concerns.","Colour"
"Sunset Yellow FCF","Colouring Agent","Yellow 6","Synthetic yellow dye. Requires warning label 'may have an adverse effect on activity and attention in children' in EU.","Colour"
"Tartrazine","Colouring Agent","Yellow 5","Synthetic yellow dye. May cause allergic reactions and hyperactivity in children.","Colour"
"Allura Red AC","Colouring Agent","Red 40","Most widely used synthetic red dye. Linked to hyperactivity in some studies.","Colour"
"Brilliant Blue FCF","Colouring Agent","Blue 1","Synthetic blue dye. Generally approved but banned in some countries.","Colour"
"Indigotine","Colouring Agent","Blue 2","Synthetic blue dye. Linked to brain tumors in rats at high doses.","Colour"
"Monosodium Glutamate","Flavour Enhancer","MSG","Enhances savory/umami taste. GRAS by FDA. Some sensitive individuals may report mild symptoms (Chinese restaurant syndrome).","Flavour Enhancer"
"MSG","Flavour Enhancer","MSG","Monosodium Glutamate. Enhances savory taste. GRAS by FDA.","Flavour Enhancer"
"Disodium Inosinate","Flavour Enhancer","I+G","Nucleotide flavor enhancer. Often used with MSG. Generally safe.","Flavour Enhancer"
"Disodium Guanylate","Flavour Enhancer","I+G","Nucleotide flavor enhancer. Often used with MSG. Generally safe.","Flavour Enhancer"
"Hydrolyzed Vegetable Protein","Flavour Enhancer","HVP","Plant protein broken down for savory flavor. Contains natural glutamates.","Flavour Enhancer"
"Yeast Extract","Flavour Enhancer","Yeast Extract","Natural umami source. Contains naturally occurring glutamates.","Flavour Enhancer"
"Soy Lecithin","Emulsifier","Soy Lecithin","Helps blend oil and water. Derived from soybeans. May cause issues in soy-allergic individuals.","Emulsifier"
"Sunflower Lecithin","Emulsifier","Sunflower Lecithin","Helps blend oil and water. Non-GMO alternative to soy lecithin.","Emulsifier"
"Xanthan Gum","Thickener / Stabiliser","Xanthan Gum","Natural polysaccharide thickener. Produced by bacterial fermentation. Generally safe.","Thickener"
"Guar Gum","Thickener / Stabiliser","Guar Gum","Natural fiber-based thickener. May have mild laxative effect in large amounts.","Thickener"
"Carrageenan","Thickener / Stabiliser","Carrageenan","Seaweed-derived thickener. Some studies link degraded form to digestive inflammation.","Thickener"
"Pectin","Gelling Agent","Pectin","Natural fruit-derived gelling agent. Good prebiotic fiber.","Gelling Agent"
"Gelatin","Gelling Agent","Gelatin","Animal-derived gelling agent. Not suitable for vegetarians or vegans.","Gelling Agent"
"High Fructose Corn Syrup","Sweetener","HFCS","Corn-derived sweetener. Linked to obesity, insulin resistance, and metabolic syndrome.","Sweetener"
"Aspartame","Artificial Sweetener","Aspartame","Low-calorie sweetener. IARC classified as possibly carcinogenic (Group 2B). Not suitable for phenylketonurics.","Sweetener"
"Sucralose","Artificial Sweetener","Sucralose","Zero-calorie sweetener. May reduce beneficial gut bacteria.","Sweetener"
"Saccharin","Artificial Sweetener","Saccharin","Zero-calorie sweetener. Previously linked to bladder cancer in rats at very high doses.","Sweetener"
"Stevia","Natural Sweetener","Stevia","Plant-derived zero-calorie sweetener. Generally recognized as safe.","Sweetener"
"Acesulfame Potassium","Artificial Sweetener","Ace-K","Zero-calorie sweetener. Often combined with aspartame.","Sweetener"
"Palm Oil","Vegetable Oil","Palm Oil","High in saturated fats (50%). Environmental concerns related to deforestation.","Fat/Oil"
"Partially Hydrogenated Oil","Trans Fat Source","Trans Fat","Contains industrial trans fats. Banned or restricted in many countries.","Fat/Oil"
"Butylated Hydroxyanisole","Preservative","BHA","Synthetic antioxidant preservative. Listed as possible human carcinogen by IARC.","Preservative"
"Butylated Hydroxytoluene","Preservative","BHT","Synthetic antioxidant preservative. May have endocrine-disrupting properties.","Preservative"
"Sodium Nitrite","Preservative / Curing Agent","Sodium Nitrite","Used in processed meats. Can form nitrosamines when heated to high temperatures.","Preservative"
"Potassium Bromate","Flour Treatment Agent","Potassium Bromate","Strengthens dough. Banned in EU, Canada, China, and India as potential carcinogen.","Processing Aid"
"Azodicarbonamide","Flour Treatment Agent","ADA","Strengthens dough. Banned in EU and Australia. Linked to respiratory issues.","Processing Aid"
"Brominated Vegetable Oil","Stabiliser","BVO","Keeps flavor oils in beverages. Accumulates in body fat. Banned in EU, Japan, India.","Stabiliser"
"Red 40 Lake","Colouring Agent","Red 40 Lake","Synthetic red dye in lake form. More stable in dry applications.","Colour"
"Carmine","Colouring Agent","Cochineal","Red dye from crushed insects. Not suitable for vegetarians or vegans.","Colour"
"Caramel Color","Colouring Agent","Caramel","Brown colorant. Class III and IV caramel may contain 4-MEI, a possible carcinogen.","Colour"
"Caramel E150d","Colouring Agent","Sulfite Ammonia Caramel","Ammonia caramel in cola drinks. Contains 4-MEI.","Colour"
"Beta Carotene","Colouring Agent","Beta Carotene","Natural orange pigment. Precursor to Vitamin A.","Colour"
"Annatto","Colouring Agent","Annatto","Natural yellow-orange dye from annatto seeds. May cause allergic reactions.","Colour"
"Curcumin","Colouring Agent","Turmeric","Natural yellow pigment from turmeric. Has antioxidant and anti-inflammatory properties.","Colour"
"Silicon Dioxide","Anticaking Agent","Silica","Prevents powdered ingredients from clumping. Generally safe.","Processing Aid"
"Maltodextrin","Bulking Agent","Maltodextrin","Starch-derived carbohydrate. High glycemic index.","Processing Aid"
"Modified Starch","Thickener","Modified Starch","Starch chemically or physically altered for improved stability.","Thickener"
"Gum Arabic","Stabiliser","Gum Arabic","Natural gum from acacia tree. Used as stabilizer and binder.","Stabiliser"
"Whey","Dairy Ingredient","Whey","Milk protein byproduct. Contains lactose. Not suitable for dairy-allergic individuals.","Dairy"
"Casein","Dairy Ingredient","Casein","Major milk protein. Dairy allergen.","Dairy"
"Lactose","Dairy Ingredient","Lactose","Milk sugar. People with lactose intolerance may experience bloating and diarrhea.","Dairy"
"Natural Flavor","Flavouring","Natural Flavor","Flavor derived from natural sources. Can include many individual compounds.","Flavouring"
"Artificial Flavor","Flavouring","Artificial Flavor","Synthetic flavor compounds. Specific compounds not always disclosed.","Flavouring"
"Trans Fat","Fat","Trans Fat","Industrial trans fats. Raises bad cholesterol (LDL). Banned in many countries.","Fat/Oil"
"Wheat Flour","Base Ingredient","Wheat Flour","Refined wheat flour. Contains gluten. Not suitable for celiac individuals.","Grain"
"Maida","Base Ingredient","Refined Flour","Highly refined wheat flour. Stripped of fiber and nutrients. High glycemic index.","Grain"
"Atta","Base Ingredient","Whole Wheat Flour","Whole grain wheat flour. Higher fiber and better nutritional profile than maida.","Grain"
"Sugar","Sweetener","Sugar","Refined sucrose. Excessive intake linked to obesity, diabetes, and dental caries.","Sweetener"
"Glucose Syrup","Sweetener","Glucose Syrup","Refined sweetener from starch. High glycemic index.","Sweetener"
"Dextrose","Sweetener","Glucose","Simple sugar. Fast-absorbing. Can spike blood sugar rapidly.","Sweetener"
"Salt","Mineral","Salt","Sodium chloride. Excess intake linked to hypertension and cardiovascular disease.","Mineral"
"Edible Vegetable Oil","Fat/Oil","Vegetable Oil","Plant-derived oil. Composition varies by source.","Fat/Oil"
"Refined Palm Oil","Fat/Oil","Palm Oil","High in saturated fats. Environmental concerns due to deforestation.","Fat/Oil"
"Sunflower Oil","Fat/Oil","Sunflower Oil","High in linoleic acid. Better fatty acid profile than palm oil.","Fat/Oil"
"Phosphoric Acid","Acidity Regulator","Phosphoric Acid","Used in cola drinks for tartness. May contribute to dental erosion.","Acidity Regulator"
"Carbonated Water","Base Ingredient","Sparkling Water","Water with dissolved CO2. Safe.","Base Ingredient"
"Onion Powder","Spice","Onion Powder","Dehydrated ground onion. Flavor additive. Generally safe.","Spice"
"Spices","Spice","Spices","Mixture of various spices. Generally safe.","Spice"
"Leavening Agents","Leavening Agent","Leavening","Causes dough to rise. Typically baking soda or ammonium bicarbonate.","Processing Aid"
"Sodium Bicarbonate","Leavening Agent","Baking Soda","Common leavening agent. Generally safe.","Processing Aid"
"Skim Milk Powder","Dairy Ingredient","Skim Milk Powder","Dehydrated skimmed milk. Contains dairy protein and lactose.","Dairy"
"Butter","Dairy Ingredient","Butter","Dairy fat. High in saturated fats. Contains dairy protein.","Dairy"
"Soy Lecithin","Emulsifier","Soy Lecithin","Helps blend oil and water. Derived from soybeans. May cause issues in soy-allergic individuals.","Emulsifier"
"Polyglycerol Polyricinoleate","Emulsifier","PGPR","Synthetic emulsifier from castor oil used to improve chocolate flow.","Emulsifier"
"Ammonium Phosphatides","Emulsifier","AMP","Synthetic emulsifier used in chocolate. Generally considered safe.","Emulsifier"
"Cocoa Butter","Fat","Cocoa Butter","Natural fat from cocoa beans. Gives chocolate its characteristic texture.","Fat/Oil"
"Cocoa Mass","Base Ingredient","Cocoa Solids","Roasted cocoa beans ground into paste. Base of all chocolate. Contains antioxidants.","Base Ingredient"
"Monosodium Glutamate","Flavour Enhancer","MSG","Enhances savory/umami taste. GRAS by FDA. Some sensitive individuals report mild symptoms.","Flavour Enhancer"
